"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 17:53:34 CST 2023","Thu Jul 20 17:53:47 CST 2023","13797","testcase.login_logout","test_login_with_wrong_info","TestErrorLogin","","","test2_login_with_error_password",""
"passed","Thu Jul 20 17:54:48 CST 2023","Thu Jul 20 17:55:03 CST 2023","15481","testcase.profile","test_edit_profile","TestEditProfile","","","test1_change_avatar",""
"passed","Thu Jul 20 17:51:12 CST 2023","Thu Jul 20 17:51:27 CST 2023","14798","testcase.login_logout","test_login_logout","TestLoginLogout","","","test2_LogOutUserExisted",""
"passed","Thu Jul 20 17:52:11 CST 2023","Thu Jul 20 17:52:31 CST 2023","19638","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test4_check_terms_of_use",""
"broken","Thu Jul 20 17:55:39 CST 2023","Thu Jul 20 17:55:51 CST 2023","11924","testcase.profile","test_edit_profile","TestEditProfile","","","test2_change_username",""
"passed","Thu Jul 20 17:53:19 CST 2023","Thu Jul 20 17:53:34 CST 2023","14296","testcase.login_logout","test_login_with_wrong_info","TestErrorLogin","","","test1_login_with_nonexistent_account",""
"broken","Thu Jul 20 17:56:15 CST 2023","Thu Jul 20 17:56:26 CST 2023","11449","testcase.profile","test_edit_profile","TestEditProfile","","","test3_change_self_intro",""
"passed","Thu Jul 20 17:56:26 CST 2023","Thu Jul 20 17:56:36 CST 2023","10099","","","","","","test3_change_self_intro",""
"passed","Thu Jul 20 17:52:53 CST 2023","Thu Jul 20 17:53:12 CST 2023","18148","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test6_check_create_one_now",""
"passed","Thu Jul 20 17:52:31 CST 2023","Thu Jul 20 17:52:53 CST 2023","22351","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test5_check_privacy_policy",""
"passed","Thu Jul 20 17:51:35 CST 2023","Thu Jul 20 17:51:43 CST 2023","7805","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test1_check_not_you",""
"passed","Thu Jul 20 17:51:01 CST 2023","Thu Jul 20 17:51:12 CST 2023","10819","testcase.login_logout","test_login_logout","TestLoginLogout","","","test1_loginUserExisted",""
"passed","Thu Jul 20 17:51:59 CST 2023","Thu Jul 20 17:52:11 CST 2023","12797","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test3_check_forget_password",""
"passed","Thu Jul 20 17:51:43 CST 2023","Thu Jul 20 17:51:59 CST 2023","15747","testcase.login_logout","test_login_page_functions","TestCheckFunctions","","","test2_check_show_password",""
